Pseudo,Score,Seed
test1,432,80121G28E4
test20,429,V9JI4S0Z8E
h,420,XM6ZNJQ1TR
test19,411,YE88W6RM5I
test10,407,AIMEZARDDB
:,396,SWW5WADBWD
aaaaaaaaaaaaaaaaaaaa,395,5113C4I8Z7
test17,385,DDV8HZ5CU3
test4,353,M0SR57EN5U
[,353,313PJ0C0RV
test null avec espace long,352,KT4D6SGAD4
test7,321,DETKEYTBA6
test5,311,DOH0045I9D
w,308,0FIRNQ1QBW
kkkkkkkk,306,ENI43FY75Z
test2,304,QF1MM1SQ2M
Scorefonctionne,288,YYBH7BNS3I
test20,287,CIVXKM7317
Anonyme,285,MZ2LDQQN0V
baka,284,YIO614UCKQ
h,268,4
w,268,4
test3,244,GKMID5Z7QC
